realID,LOC,weekday,diffdays,flex,penalty,DiaAten,ModelId,T.Servicio,Tag
224,PR,3,0,0,20876,3,34,50,Base
34,LC,1,0,0,20890,1,34,80,Base
148,SA,2,1,1,20896,-3,48,90,Base
368,PR,5,0,0,20897,5,28,5,Base
369,SA,5,0,0,20911,5,29,120,Base
370,SA,5,0,0,20911,5,30,140,Base
225,SA,3,0,0,20920,3,35,80,Base
35,SA,1,0,0,20920,1,35,105,Base
297,SA,4,0,0,20924,4,27,100,Base
36,LC,1,0,0,20943,1,36,60,Base
298,PR,4,0,0,20950,4,28,120,Base
150,SA,2,0,0,20953,2,49,120,Base
149,SA,2,0,0,20953,2,50,235,Base
151,SA,2,0,0,20960,2,51,120,Base
38,PR,1,0,0,21005,1,37,80,Base
371,PR,5,0,0,21005,5,31,30,Base
37,PR,1,0,0,21005,1,38,60,Base
39,LC,1,0,0,21055,1,39,90,Base
226,PR,3,0,0,21056,3,36,65,Base
372,LC,5,0,0,21060,5,32,60,Base
227,LC,3,0,0,21091,3,37,120,Base
40,SA,1,0,0,21141,1,40,60,Base
228,SA,3,0,0,21157,3,38,100,Base
152,LC,2,0,0,21216,2,52,1,Base
41,LC,1,0,0,21220,1,41,120,Base
42,PR,1,0,0,21220,1,42,60,Base
299,LC,4,0,0,21221,4,29,60,Base
43,SA,1,0,0,21244,1,43,207,Base
300,SA,4,0,0,21248,4,30,105,Base
301,SA,4,0,0,21248,4,31,75,Base
44,PR,1,0,0,21260,1,44,25,Base
153,PR,2,0,0,21266,2,53,230,Base
302,SA,4,0,0,21290,4,32,90,Base
373,SA,5,0,0,21310,5,33,60,Base
154,PR,2,0,0,21310,2,54,170,Base
374,PR,5,0,0,21310,5,34,105,Base
155,SA,2,0,0,21359,2,55,240,Base
375,PR,5,0,0,21379,5,35,170,Base
229,SA,3,0,0,21385,3,39,60,Base
156,PR,2,0,0,21389,2,56,80,Base
45,VI,1,0,0,21434,1,45,75,Base
46,SA,1,0,0,21442,1,46,90,Base
47,SA,1,0,0,21442,1,47,90,Base
230,PR,3,0,0,21471,3,40,30,Base
303,LC,4,0,0,21472,4,33,60,Base
376,PR,5,0,0,21477,5,36,75,Base
304,VI,4,1,1,21479,-5,34,120,Base
231,SA,3,0,0,21479,3,41,80,Base
49,SA,1,0,0,21479,1,48,60,Base
306,SA,4,0,0,21479,4,35,270,Base
305,PR,4,0,0,21479,4,36,25,Base
377,PR,5,0,0,21479,5,37,30,Base
157,SA,2,0,0,21479,2,57,150,Base
48,SA,1,0,0,21479,1,49,60,Base
232,PR,3,0,0,21479,3,42,120,Base
307,SA,4,0,0,21484,4,37,120,Base
233,SA,3,0,0,21503,3,43,40,Base
378,PR,5,0,0,21504,5,38,30,Base
234,LC,3,0,0,21515,3,44,60,Base
235,LC,3,0,0,21519,3,45,120,Base
379,LC,5,0,0,21525,5,39,60,Base
50,LC,1,0,0,21560,1,50,80,Base
158,PR,2,0,0,21565,2,58,85,Base
236,VI,3,0,0,21571,3,46,90,Base
308,PR,4,0,0,21588,4,38,30,Base
237,PR,3,0,0,21588,3,47,70,Base
159,SA,2,0,0,21602,2,59,55,Base
51,SA,1,0,0,21602,1,51,90,Base
160,PR,2,0,0,21605,2,60,60,Base
309,PR,4,0,0,21638,4,39,60,Base
310,PR,4,0,0,21638,4,40,120,Base
161,LC,2,0,0,21661,2,61,180,Base
238,SA,3,0,0,21691,3,48,60,Base
162,SA,2,0,0,21730,2,62,1,Base
239,SA,3,0,0,21761,3,49,180,Base
52,PR,1,0,0,21762,1,52,30,Base
240,PR,3,0,0,21762,3,50,60,Base
53,NU,1,0,0,21830,1,53,90,Base
311,PR,4,0,0,21934,4,41,60,Base
241,SA,3,0,0,21944,3,51,20,Base
55,LC,1,0,0,22000,1,54,60,Base
54,LC,1,0,0,22000,1,55,60,Base
312,PR,4,0,0,22012,4,42,50,Base
56,LC,1,0,0,22030,1,56,150,Base
313,PR,4,0,0,22053,4,43,50,Base
163,PR,2,0,0,22053,2,63,120,Base
164,NU,2,0,0,22080,2,64,90,Base
314,SA,4,0,0,22088,4,44,20,Base
380,LC,5,0,0,22176,5,40,234,Base
59,SA,1,0,0,22185,1,57,60,Base
57,SA,1,0,0,22185,1,58,60,Base
58,SA,1,0,0,22185,1,59,60,Base
165,SA,2,0,0,22239,2,65,120,Base
60,LC,1,0,0,22272,1,60,90,Base
167,SA,2,0,0,22324,2,66,60,Base
64,SA,1,0,0,22324,1,61,10,Base
62,SA,1,0,0,22324,1,62,150,Base
61,SA,1,0,0,22324,1,63,30,Base
166,SA,2,0,0,22324,2,67,40,Base
65,SA,1,0,0,22324,1,64,30,Base
63,SA,1,0,0,22324,1,65,75,Base
381,SA,5,0,0,22324,5,41,60,Base
242,LC,3,0,0,22331,3,52,40,Base
315,SA,4,0,0,22350,4,45,180,Base
316,NU,4,0,0,22402,4,46,60,Base
66,PR,1,0,0,22414,1,66,75,Base
168,SA,2,0,0,22446,2,68,60,Base
67,SA,1,0,0,22454,1,67,60,Base
317,LC,4,0,0,22459,4,47,45,Base
243,SA,3,0,0,22477,3,53,120,Base
318,SA,4,0,0,22477,4,48,240,Base
68,SA,1,0,0,22486,1,68,120,Base
69,VI,1,0,0,22503,1,69,60,Base
382,PR,5,0,0,22508,5,42,30,Base
319,PR,4,0,0,22522,4,49,90,Base
71,PR,1,0,0,22528,1,70,520,Base
70,SA,1,0,0,22528,1,71,180,Base
170,SA,2,0,0,22528,2,69,120,Base
